[23:49:44.019] ADC:3841 voltage:3.10 V magnetic field not detected
[23:49:44.523] ADC:3837 voltage:3.09 V magnetic field not detected
[23:49:45.028] ADC:3836 voltage:3.09 V magnetic field not detected
[23:49:45.534] ADC:3834 voltage:3.09 V magnetic field not detected
[23:49:46.038] ADC:3842 voltage:3.10 V magnetic field not detected
[23:49:46.544] ADC:3839 voltage:3.09 V magnetic field not detected
[23:49:47.050] ADC:3845 voltage:3.10 V magnetic field not detected
[23:49:47.554] ADC:3853 voltage:3.10 V magnetic field not detected
[23:49:48.058] ADC:3851 voltage:3.10 V magnetic field not detected
[23:49:48.566] ADC:3822 voltage:3.08 V magnetic field not detected
[23:49:49.067] ADC:3826 voltage:3.08 V magnetic field not detected
[23:49:49.573] ADC:3850 voltage:3.10 V magnetic field not detected
[23:49:50.079] ADC:3849 voltage:3.10 V magnetic field not detected
[23:49:50.583] ADC:3850 voltage:3.10 V magnetic field not detected
[23:49:51.088] ADC:3849 voltage:3.10 V magnetic field not detected
[23:49:51.593] ADC:3848 voltage:3.10 V magnetic field not detected
[23:49:52.097] ADC:3842 voltage:3.10 V magnetic field not detected
[23:49:52.603] ADC:3853 voltage:3.10 V magnetic field not detected
[23:49:53.108] ADC:3853 voltage:3.10 V magnetic field not detected
[23:49:53.613] ADC:3853 voltage:3.10 V magnetic field not detected
[23:49:54.117] ADC:3841 voltage:3.10 V magnetic field not detected
[23:49:54.623] ADC:3867 voltage:3.12 V magnetic field not detected
[23:49:55.128] ADC:3868 voltage:3.12 V magnetic field not detected
[23:49:55.632] ADC:3876 voltage:3.12 V magnetic field not detected
[23:49:56.137] ADC:3878 voltage:3.13 V magnetic field not detected
[23:49:56.642] ADC:3884 voltage:3.13 V magnetic field not detected
[23:49:57.147] ADC:3874 voltage:3.12 V magnetic field not detected
[23:49:57.654] ADC:3876 voltage:3.12 V magnetic field not detected
[23:49:58.157] ADC:3877 voltage:3.12 V magnetic field not detected
